Fecha,SEAS,Year,ONI,ANOM,Month
1950-01-01 00:00:00,DJF,1950,24.72,-1.53,1
1950-02-01 00:00:00,JFM,1950,25.17,-1.34,2
1950-03-01 00:00:00,FMA,1950,25.75,-1.16,3
1950-04-01 00:00:00,MAM,1950,26.12,-1.18,4
1950-05-01 00:00:00,AMJ,1950,26.32,-1.07,5
1950-06-01 00:00:00,MJJ,1950,26.31,-0.85,6
1950-07-01 00:00:00,JJA,1950,26.21,-0.54,7
1950-08-01 00:00:00,JAS,1950,25.96,-0.42,8
1950-09-01 00:00:00,ASO,1950,25.76,-0.39,9
1950-10-01 00:00:00,SON,1950,25.63,-0.44,10
1950-11-01 00:00:00,OND,1950,25.48,-0.6,11
1950-12-01 00:00:00,NDJ,1950,25.34,-0.8,12
1951-01-01 00:00:00,DJF,1951,25.42,-0.82,1
1951-02-01 00:00:00,JFM,1951,25.96,-0.54,2
1951-03-01 00:00:00,FMA,1951,26.74,-0.17,3
1951-04-01 00:00:00,MAM,1951,27.48,0.18,4
1951-05-01 00:00:00,AMJ,1951,27.75,0.36,5
1951-06-01 00:00:00,MJJ,1951,27.75,0.58,6
1951-07-01 00:00:00,JJA,1951,27.44,0.7,7
1951-08-01 00:00:00,JAS,1951,27.28,0.89,8
1951-09-01 00:00:00,ASO,1951,27.14,0.99,9
1951-10-01 00:00:00,SON,1951,27.22,1.15,10
1951-11-01 00:00:00,OND,1951,27.12,1.04,11
1951-12-01 00:00:00,NDJ,1951,26.95,0.81,12
1952-01-01 00:00:00,DJF,1952,26.78,0.53,1
1952-02-01 00:00:00,JFM,1952,26.87,0.37,2
1952-03-01 00:00:00,FMA,1952,27.25,0.34,3
1952-04-01 00:00:00,MAM,1952,27.6,0.29,4
1952-05-01 00:00:00,AMJ,1952,27.59,0.2,5
1952-06-01 00:00:00,MJJ,1952,27.17,0,6
1952-07-01 00:00:00,JJA,1952,26.67,-0.08,7
1952-08-01 00:00:00,JAS,1952,26.39,0,8
