Fecha,CodigoEmbalse,VertimientosEnergia,CodigoDuracion
2013-01-31,MIEL1,0,P1D
2013-01-31,CALIMA1,0,P1D
2013-01-31,TRONERAS,0,P1D
2013-01-31,ALTOANCH,0,P1D
2013-01-31,PENOL,0,P1D
2013-01-31,PORCE3,0,P1D
2013-01-31,RIOGRAN2,0,P1D
2013-01-31,AGREGADO_SIN,0,P1D
2013-01-31,PRADO,0,P1D
2013-01-31,FLORIDA2,0,P1D
2013-01-31,CHUZA,0,P1D
2013-01-31,PUNCHINA,0,P1D
2013-01-31,GUAVIO,0,P1D
2013-01-31,MIRAFLOR,0,P1D
2013-01-31,ESMERALD,0,P1D
2013-01-31,PLAYAS,0,P1D
2013-01-31,SANLOREN,0,P1D
2013-01-31,SALVAJIN,0,P1D
2013-01-31,MUNA,0,P1D
2013-01-31,AGREGADO_BOGOTA,0,P1D
2013-01-31,URRA1,0,P1D
2013-01-30,ALTOANCH,0,P1D
2013-01-30,MUNA,0,P1D
2013-01-30,PLAYAS,0,P1D
2013-01-30,FLORIDA2,0,P1D
2013-01-30,SALVAJIN,0,P1D
2013-01-30,CALIMA1,0,P1D
2013-01-30,ESMERALD,0,P1D
2013-01-30,SANLOREN,0,P1D
2013-01-30,TRONERAS,0,P1D
2013-01-30,PRADO,0,P1D
2013-01-30,AGREGADO_BOGOTA,0,P1D
2013-01-30,MIEL1,0,P1D
2013-01-30,URRA1,0,P1D
2013-01-30,CHUZA,0,P1D
2013-01-30,PUNCHINA,0,P1D
2013-01-30,GUAVIO,0,P1D
2013-01-30,RIOGRAN2,0,P1D
2013-01-30,PENOL,0,P1D
2013-01-30,MIRAFLOR,0,P1D
2013-01-30,AGREGADO_SIN,0,P1D
2013-01-30,PORCE3,0,P1D
2013-01-29,MIRAFLOR,0,P1D
2013-01-29,PLAYAS,0,P1D
2013-01-29,FLORIDA2,0,P1D
2013-01-29,PRADO,0,P1D
2013-01-29,AGREGADO_BOGOTA,0,P1D
2013-01-29,TRONERAS,0,P1D
2013-01-29,PUNCHINA,0,P1D
2013-01-29,URRA1,0,P1D
2013-01-29,PORCE3,0,P1D
2013-01-29,CALIMA1,0,P1D
2013-01-29,PENOL,0,P1D
2013-01-29,GUAVIO,0,P1D
2013-01-29,MIEL1,0,P1D
2013-01-29,MUNA,0,P1D
2013-01-29,AGREGADO_SIN,0,P1D
2013-01-29,SANLOREN,0,P1D
2013-01-29,ALTOANCH,0,P1D
2013-01-29,RIOGRAN2,0,P1D
2013-01-29,ESMERALD,0,P1D
2013-01-29,SALVAJIN,0,P1D
2013-01-29,CHUZA,0,P1D
2013-01-28,MIRAFLOR,0,P1D
2013-01-28,PLAYAS,0,P1D
2013-01-28,SALVAJIN,0,P1D
2013-01-28,AGREGADO_BOGOTA,0,P1D
2013-01-28,FLORIDA2,0,P1D
