codigo_embalse,region,volumen_util,capacidad_util,volumen_total,VertimientosEnergia,fecha,vertimientos,duracion,etiqueta
AGREGADO_SIN,Colombia,9132098700,15174371537,10263118000,0.0,2013-01-31,0.0,P1D,0
GUAVIO,Oriente,1016278500,2095258858,1066728600,0.0,2013-01-31,0.0,P1D,0
URRA1,Caribe,117889500,192324924,165058100,0.0,2013-01-31,0.0,P1D,0
GUAVIO,Oriente,1032618700,2095258858,1083068800,0.0,2013-01-30,0.0,P1D,0
BETANIA,Centro,108564500,140252238,194900500,0.0,2013-01-29,0.0,,0
PUNCHINA,Antioquia,15520900,81086719,23567100,0.0,2013-01-29,0.0,P1D,0
CHUZA,Oriente,580007600,1044556840,637552600,0.0,2013-01-29,0.0,P1D,0
PLAYAS,Antioquia,75962300,98503023,113726000,0.0,2013-01-29,0.0,P1D,0
CHUZA,Oriente,583368200,1044556840,640913200,0.0,2013-01-28,0.0,P1D,0
TRONERAS,Antioquia,13854000,63534822,42467000,0.0,2013-01-28,0.0,P1D,0
PRADO,Centro,44880000,59469968,89318400,0.0,2013-01-28,0.0,P1D,0
SANLOREN,Antioquia,232817300,450404774,290518900,0.0,2013-01-28,0.0,P1D,0
MUNA,Centro,24076800,56025812,25780200,0.0,2013-01-28,0.0,P1D,0
MIRAFLOR,Antioquia,149466100,304387239,165429500,0.0,2013-01-27,0.0,P1D,0
AGREGADO_SIN,Colombia,9451802800,15174371537,10582822500,0.0,2013-01-27,0.0,P1D,0
ALTOANCH,Valle,3485200,35110192,11228900,0.0,2013-01-27,0.0,P1D,0
GUAVIO,Oriente,1109396300,2095258858,1159846400,0.0,2013-01-25,0.0,P1D,0
MIEL1,Caldas,149818200,235260926,176596900,0.0,2013-01-25,0.0,P1D,0
CHUZA,Oriente,596672600,1044556840,654217600,0.0,2013-01-24,0.0,P1D,0
AGREGADO_SIN,Colombia,9672520600,15236874539,10810075800,0.0,2013-01-24,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2983450400,3992426064,2983450400,0.0,2013-01-24,0.0,P1D,0
PUNCHINA,Antioquia,20907900,81086719,28954100,0.0,2013-01-24,0.0,P1D,0
ESMERALD,Oriente,739998100,1066299904,780166900,0.0,2013-01-24,0.0,P1D,0
PORCE2,Antioquia,13935900,133945086,80655300,0.0,2013-01-23,0.0,,0
GUAVIO,Oriente,1150521100,2095258858,1200971200,0.0,2013-01-23,0.0,P1D,0
PUNCHINA,Antioquia,32114700,81086719,40160900,0.0,2013-01-21,0.0,P1D,0
CALIMA1,Valle,154656400,222285936,207367800,0.0,2013-01-21,0.0,P1D,0
CHUZA,Oriente,609516600,1044556840,667061600,0.0,2013-01-20,0.0,P1D,0
GUAVIO,Oriente,1188133000,2095258858,1238583100,0.0,2013-01-20,0.0,P1D,0
AGREGADO_BOGOTA,Centro,3012591200,3992426064,3012591200,0.0,2013-01-19,0.0,P1D,0
ESMERALD,Oriente,772844100,1066299904,813012900,0.0,2013-01-19,0.0,P1D,0
PENOL,Antioquia,2795704100,4120023896,3076896700,0.0,2013-01-19,0.0,P1D,0
CALIMA1,Valle,155721600,222285936,208433000,0.0,2013-01-19,0.0,P1D,0
CALIMA1,Valle,157473800,222285936,210185300,0.0,2013-01-18,0.0,P1D,0
URRA1,Caribe,136113300,192324924,183282000,0.0,2013-01-18,0.0,P1D,0
PORCE3,Antioquia,23024600,108095201,48052400,0.0,2013-01-17,0.0,P1D,0
URRA1,Caribe,136762400,192324924,183931100,0.0,2013-01-17,0.0,P1D,0
PUNCHINA,Antioquia,38452600,81086719,46498800,0.0,2013-01-16,0.0,P1D,0
ALTOANCH,Valle,1828500,35110192,9572200,0.0,2013-01-16,0.0,P1D,0
SALVAJIN,Valle,81395800,192899152,106936100,0.0,2013-01-15,0.0,P1D,0
AGREGADO_BOGOTA,Centro,3037699300,3992426064,3037699300,0.0,2013-01-15,0.0,P1D,0
PRADO,Centro,46478000,59469968,90916400,0.0,2013-01-14,0.0,P1D,0
AGREGADO_BOGOTA,Centro,3043651700,3992426064,3043651700,0.0,2013-01-14,0.0,P1D,0
SALVAJIN,Valle,81268500,192899152,106808800,0.0,2013-01-14,0.0,P1D,0
BETANIA,Centro,105130800,140252238,191466800,0.0,2013-01-14,0.0,,0
RIOGRAN2,Antioquia,264833100,489834037,434034300,0.0,2013-01-14,0.0,P1D,0
RIOGRAN2,Antioquia,270281200,489834037,439482400,0.0,2013-01-13,0.0,P1D,0
TRONERAS,Antioquia,8668000,72775018,41442300,0.0,2013-01-13,0.0,P1D,0
PRADO,Centro,45600400,59469968,90038800,0.0,2013-01-13,0.0,P1D,0
PUNCHINA,Antioquia,26854200,81086719,34900400,0.0,2013-01-12,0.0,P1D,0
RIOGRAN2,Antioquia,278181500,489834037,447382700,0.0,2013-01-12,0.0,P1D,0
CHUZA,Oriente,638243100,1044556840,695788100,0.0,2013-01-11,0.0,P1D,0
SANLOREN,Antioquia,340142700,451463048,397979800,0.0,2013-01-10,0.0,P1D,0
ESMERALD,Oriente,875929200,1066299904,916098000,0.0,2013-01-09,0.0,P1D,0
MUNA,Centro,34172500,56025812,35875900,0.0,2013-01-09,0.0,P1D,0
PLAYAS,Antioquia,71867600,98824879,109754800,0.0,2013-01-09,0.0,P1D,0
CALIMA1,Valle,168450700,222285936,221162200,0.0,2013-01-07,0.0,P1D,0
AGREGADO_BOGOTA,Centro,3086792100,3992426064,3086792100,0.0,2013-01-07,0.0,P1D,0
MIRAFLOR,Antioquia,231529700,348655841,249814700,0.0,2013-01-06,0.0,P1D,0
CHUZA,Oriente,658452900,1044556840,715997900,0.0,2013-01-05,0.0,P1D,0
SANLOREN,Antioquia,341620800,451463048,399458000,0.0,2013-01-04,0.0,P1D,0
PLAYAS,Antioquia,83363500,98824879,121250600,0.0,2013-01-04,0.0,P1D,0
PENOL,Antioquia,3110773700,4120023896,3391966300,0.0,2013-01-03,0.0,P1D,0
SALVAJIN,Valle,81985400,192899152,107525700,0.0,2013-01-03,0.0,P1D,0
PORCE3,Antioquia,25641800,108095201,50669600,0.0,2013-01-03,0.0,P1D,0
PUNCHINA,Antioquia,35701900,81086719,43748100,0.0,2013-01-03,0.0,P1D,0
RIOGRAN2,Antioquia,332840500,489834037,502041700,0.0,2013-01-02,0.0,P1D,0
PUNCHINA,Antioquia,44238800,81086719,52285000,0.0,2013-01-02,0.0,P1D,0
RIOGRAN2,Antioquia,329926300,489834037,499127500,0.0,2013-01-01,0.0,P1D,0
PLAYAS,Antioquia,94934000,98824879,132821100,0.0,2013-01-01,0.0,P1D,0
MIEL1,Caldas,189267700,235260926,216046400,0.0,2013-01-01,0.0,P1D,0
CHUZA,Oriente,459255100,1044556840,516800100,0.0,2013-03-03,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2806257900,3992426064,2806257900,0.0,2013-03-03,0.0,P1D,0
PORCE3,Antioquia,41320200,108095201,66348000,0.0,2013-03-03,0.0,P1D,0
ALTOANCH,Valle,8909500,35110192,16653100,0.0,2013-03-02,0.0,P1D,0
PORCE2,Antioquia,28749100,133945086,95468600,0.0,2013-03-02,0.0,,0
ESMERALD,Oriente,436319400,1066299904,476488200,0.0,2013-02-28,0.0,P1D,0
SANLOREN,Antioquia,203376600,450404774,261078200,0.0,2013-02-28,0.0,P1D,0
TRONERAS,Antioquia,15571400,63534822,44184400,0.0,2013-02-28,0.0,P1D,0
